projectclassification, environmentname, mu, sigma, cutoff
ERP009143activatedsludge, sludge, -17.20513991803739, 4.019117818924264, -18.8
ERP012927Lake, lake, -18.69336402376761, 4.529523943101637, -17.0
ERP012927River, river, -14.928941799089817, 3.151431067592929, -16.5
SRP056641GUT, gut1, -13.899132550487025, 3.040681464319999, -14.3
ERP015450GUT, gut2, -15.02391865122663, 3.3312142900733313, -17.5
ERP017997Glacier, glacier, -15.252550536038095, 3.6122690438893796, -16.25
MGYS00002437 seawater, seawater, -14.064050967383835, 3.7778410668305615, -17.9
SRP052295Environmental Terrestrial Soil, soil, -14.232049936073107, 3.259819994627597, -14.25
SRP056641ORAL, oral, -12.246694279977243, 2.730459227953489, -16.1
