environmentname, site_id, mu, sigma, cutoff
M_tongue, M3Tongue, -4.762052073229551, 1.9981144196943457, -10.2
M_feces, M3feces, -4.389538289117695, 1.8880314510846337, -10.2
M_rightpalm, M3R_palm, -3.7923687720857338, 1.636059758846371, -10.4
M_leftpalm, M3L_palm, -3.3357689870944647, 1.487822616077246, -9.5
F_tongue, F4Tongue, -4.965520643904133, 1.4558170712080376, -8.8
F_feces, F4feces, -5.177818503123594, 1.4738029029574542, -10.2
F_rightpalm, F4R_palm, -4.780549037962463, 0.9657238145748903, -8.4
F_leftpalm, F4L_palm, -5.498766731746011, 1.2142774570657442, -9.4
